Trying solvers:
	uppsatIJCAR (scala uppsat.jar -a=0)
	uppsatNew (scala uppsat.jar -a=1)
<--- RESULTS --->
Status	uppsatIJCAR	uppsatNew		Filename
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/newton.2.1.i.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/newton.2.2.i.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/newton.2.3.i.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/newton.3.1.i.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/newton.3.2.i.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/newton.3.3.i.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/newton.4.1.i.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/newton.4.2.i.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/newton.4.3.i.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/newton.5.1.i.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/newton.5.2.i.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/newton.5.3.i.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/newton.6.1.i.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/newton.6.2.i.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/newton.6.3.i.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/newton.7.1.i.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/newton.7.2.i.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/newton.7.3.i.smt2, -, -
sat, -, 42.427116, t/o, 7, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/newton.8.1.i.smt2, sat, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/newton.8.2.i.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/newton.8.3.i.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/pow5.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/qurt.c.10.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/qurt.c.15.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/qurt.c.20.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/qurt.c.25.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/qurt.c.2.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/qurt.c.5.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/sin2.c.10.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/sin2.c.125.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/sin2.c.15.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/sin2.c.175.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/sin2.c.20.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/sin2.c.25.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/sin2.c.2.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/sin2.c.5.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/sin2.c.75.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/sin.c.125.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/sin.c.175.smt2, -, -
