,Summary,,,,,,,,,,uppsatIJCAR(ACDCL),MathSat,uppsatIJCAR(MS),uppsatNew(ACDCL),uppsatIJCAR(z3),ACDCL,uppsatNew(MS),z3,uppsatNew(z3),,,,,,,,,,,,,
Sat,78,,,,,,,,,,50,52,40,52,49,44,48,45,42,,,,,,,,,,,,,
Unsat,56,,,,,,,,,,36,38,17,35,20,5,17,31,19,,,,,,,,,,,,,
,5.3604651163,,,,,,,,,,5.3604651163,-,4.8596491228,4.3563218391,3.347826087,-,2.8307692308,-,2.7868852459,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Status,uppsatIJCAR(ACDCL),MathSat,uppsatIJCAR(MS),uppsatNew(ACDCL),uppsatIJCAR(z3),ACDCL,uppsatNew(MS),z3,uppsatNew(z3),uppsatIJCAR(ACDCL),MathSat,uppsatIJCAR(MS),uppsatNew(ACDCL),uppsatIJCAR(z3),ACDCL,uppsatNew(MS),z3,uppsatNew(z3),,,,,,,,,,Filename,Sat,Unsat,Unknown
,sat,sat,sat,sat,sat,sat,sat,sat,sat,sat,3.2454362,1.568,1.3680884,2.2568738,1.2856022,0.104,1.3309566,6.82,1.061059,3,-,1,2,1,-,1,-,1,../../../benchmarks/QF_FP_R/griggio/fmcad12/e2.c.smt2,0,18,0
,sat,sat,sat,sat,sat,sat,sat,sat,sat,sat,1.9983861,3.624,6.998333,3.8466992,1.1806144,0.024,2.200435,8.63,1.1595174,2,-,4,3,1,-,2,-,1,../../../benchmarks/QF_FP_R/griggio/fmcad12/e3_1.c.smt2,0,18,0
,sat,sat,sat,sat,sat,sat,sat,sat,sat,sat,2.0125427,1.24,2.1299572,7.076563,1.0948881,0.072,2.150569,6.57,1.1422942,2,-,2,6,1,-,2,-,1,../../../benchmarks/QF_FP_R/griggio/fmcad12/e3_2.c.smt2,0,18,0
,unsat,-,unsat,-,-,unsat,unsat,-,unsat,unsat,t/o,0.004,t/o,t/o,7.3732686,0.004,t/o,10.06,7.2563667,-,-,-,-,6,-,-,-,6,../../../benchmarks/QF_FP_R/griggio/fmcad12/e3.c.smt2,10,0,8
,sat,-,-,-,-,-,-,-,sat,-,t/o,t/o,t/o,t/o,t/o,t/o,t/o,22.72,t/o,-,-,-,-,-,-,-,-,-,../../../benchmarks/QF_FP_R/griggio/fmcad12/f23.smt2,0,2,16
,-,-,-,-,-,-,-,-,-,-,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,-,-,-,-,-,-,-,-,-,../../../benchmarks/QF_FP_R/griggio/fmcad12/gaussian.c.125.smt2,0,0,18
,-,-,-,-,-,-,-,-,-,-,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,-,-,-,-,-,-,-,-,-,../../../benchmarks/QF_FP_R/griggio/fmcad12/gaussian.c.175.smt2,0,0,18
,sat,-,-,-,-,-,sat,-,-,-,t/o,t/o,t/o,t/o,t/o,30.302,t/o,t/o,t/o,-,-,-,-,-,-,-,-,-,../../../benchmarks/QF_FP_R/griggio/fmcad12/gaussian.c.25.smt2,0,2,16
,-,-,-,-,-,-,-,-,-,-,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,-,-,-,-,-,-,-,-,-,../../../benchmarks/QF_FP_R/griggio/fmcad12/gaussian.c.75.smt2,0,0,18
,-,-,-,-,-,-,-,-,-,-,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,-,-,-,-,-,-,-,-,-,../../../benchmarks/QF_FP_R/griggio/fmcad12/mul_000003_30000_1.smt2,0,0,18
,-,-,-,-,-,-,-,-,-,-,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,-,-,-,-,-,-,-,-,-,../../../benchmarks/QF_FP_R/griggio/fmcad12/mul_03_3000_1.smt2,0,0,18
,unsat,-,unsat,-,-,-,-,-,-,-,t/o,29.398,t/o,t/o,t/o,t/o,t/o,t/o,t/o,-,-,-,-,-,-,-,-,-,../../../benchmarks/QF_FP_R/griggio/fmcad12/mul_03_30_1.smt2,2,0,16
,unsat,-,unsat,-,-,-,-,-,-,-,t/o,21.617,t/o,t/o,t/o,t/o,t/o,t/o,t/o,-,-,-,-,-,-,-,-,-,../../../benchmarks/QF_FP_R/griggio/fmcad12/mul_03_30_2.smt2,2,0,16
,unsat,-,unsat,-,-,-,-,-,-,-,t/o,36.086,t/o,t/o,t/o,t/o,t/o,t/o,t/o,-,-,-,-,-,-,-,-,-,../../../benchmarks/QF_FP_R/griggio/fmcad12/mul_03_30_3.smt2,2,0,16
,-,-,-,-,-,-,-,-,-,-,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,-,-,-,-,-,-,-,-,-,../../../benchmarks/QF_FP_R/griggio/fmcad12/mul_03_30_4.smt2,0,0,18
,-,-,-,-,-,-,-,-,-,-,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,-,-,-,-,-,-,-,-,-,../../../benchmarks/QF_FP_R/griggio/fmcad12/mul_03_30_5.smt2,0,0,18
,-,-,-,-,-,-,-,-,-,-,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,-,-,-,-,-,-,-,-,-,../../../benchmarks/QF_FP_R/griggio/fmcad12/mul_03_30_6.smt2,0,0,18
,unsat,-,unsat,-,-,-,-,-,-,-,t/o,33.898,t/o,t/o,t/o,t/o,t/o,t/o,t/o,-,-,-,-,-,-,-,-,-,../../../benchmarks/QF_FP_R/griggio/fmcad12/mul_03_30_7.smt2,2,0,16
,sat,-,sat,-,-,-,sat,-,sat,-,t/o,32.226,t/o,t/o,t/o,0.156,t/o,33.67,t/o,-,-,-,-,-,-,-,-,-,../../../benchmarks/QF_FP_R/griggio/fmcad12/mul_03_3_1.smt2,0,6,12
,sat,sat,sat,sat,sat,sat,sat,sat,sat,sat,1.8854139,3.436,3.4487429,1.6941091,3.8357835,0.34,3.707363,9.49,6.1423388,1,-,2,1,2,-,2,-,2,../../../benchmarks/QF_FP_R/griggio/fmcad12/mult1.c.10.smt2,0,18,0
,sat,sat,sat,-,sat,sat,sat,sat,sat,sat,3.259851,13.505,t/o,2.9463189,3.7371771,1.048,2.9287517,10.37,3.3114214,1,-,-,1,1,-,1,-,1,../../../benchmarks/QF_FP_R/griggio/fmcad12/mult1.c.20.smt2,0,16,2
,sat,sat,sat,-,sat,sat,sat,sat,sat,sat,5.443485,30.306,t/o,5.3187747,5.097022,0.344,4.404151,13.51,3.3630812,1,-,-,1,1,-,1,-,1,../../../benchmarks/QF_FP_R/griggio/fmcad12/mult1.c.30.smt2,0,16,2
,sat,sat,sat,sat,sat,sat,sat,sat,sat,sat,20.347775,0.34,4.117298,0.8604841,1.4666511,0.008,0.87856555,1.37,1.7029736,11,-,6,1,2,-,1,-,2,../../../benchmarks/QF_FP_R/griggio/fmcad12/mult1.c.3.smt2,0,18,0
,sat,sat,sat,-,sat,sat,sat,sat,sat,sat,5.1498303,55.103,t/o,4.8847346,19.079803,0.568,5.6377287,19.49,7.3850627,1,-,-,1,2,-,1,-,1,../../../benchmarks/QF_FP_R/griggio/fmcad12/mult1.c.40.smt2,0,16,2
,sat,sat,-,-,sat,sat,-,sat,-,sat,7.259867,t/o,t/o,6.67519,11.614441,t/o,6.7274656,t/o,9.82919,1,-,-,1,1,-,1,-,1,../../../benchmarks/QF_FP_R/griggio/fmcad12/mult1.c.50.smt2,0,10,8
,sat,sat,sat,sat,sat,sat,sat,sat,sat,sat,1.6790568,4.14,24.187624,1.7403526,1.9809275,0.2,1.8785604,9.44,1.910827,1,-,12,1,1,-,1,-,1,../../../benchmarks/QF_FP_R/griggio/fmcad12/mult2.c.10.smt2,0,18,0
,sat,sat,sat,-,sat,sat,sat,sat,sat,sat,5.878908,14.849,t/o,5.493118,3.940689,3.688,20.758787,12.77,3.466085,2,-,-,2,1,-,3,-,1,../../../benchmarks/QF_FP_R/griggio/fmcad12/mult2.c.20.smt2,0,16,2
