Trying solvers:
	IJCAR(z3) (scala uppsat.jar -a=0)
	FxptRef(z3) (scala uppsat.jar -a=1)
	IJCAR(MS) (scala uppsat.jar -a=0 -b=1)
	FxptRef(MS) (scala uppsat.jar -a=1 -b=1)
	IJCAR(ACDCL) (scala uppsat.jar -a=0 -b=2)
	FxptRef(ACDCL) (scala uppsat.jar -a=1 -b=2)
<--- RESULTS --->
	 Time, Iterations, Answer
File	IJCAR(z3), FxptRef(z3), IJCAR(MS), FxptRef(MS), IJCAR(ACDCL), FxptRef(ACDCL), IJCAR(z3), FxptRef(z3), IJCAR(MS), FxptRef(MS), IJCAR(ACDCL), FxptRef(ACDCL), IJCAR(z3), FxptRef(z3), IJCAR(MS), FxptRef(MS), IJCAR(ACDCL), FxptRef(ACDCL)
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/test_v3_r8_vr1_c1_s733.smt2, 290.3865, 290.26767, 115.45904, 115.97831, 0.94834346, 0.937213, 6, 6, 6, 6, 6, 6, unsat, unsat, unsat, unsat, unsat, unsat
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/test_v3_r8_vr5_c1_s10746.smt2, t/o, t/o, 266.6407, 270.17868, 3.3151488, 3.3173895, -, -, 6, 6, 6, 6, -, -, unsat, unsat, unsat, unsat
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/test_v3_r8_vr5_c1_s1507.smt2, 302.98044, 303.05963, 145.45474, 144.94987, 0.84383243, 0.8488235, 6, 6, 6, 6, 6, 6, unsat, unsat, unsat, unsat, unsat, unsat
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/test_v3_r8_vr5_c1_s8257.smt2, 473.6765, 472.4568, 123.52505, 124.43572, 0.89576197, 0.8844969, 6, 6, 6, 6, 6, 6, unsat, unsat, unsat, unsat, unsat, unsat
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/test_v5_r10_vr10_c1_s15708.smt2, t/o, t/o, t/o, t/o, t/o, t/o, -, -, -, -, -, -, -, -, -, -, -, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/test_v5_r10_vr10_c1_s21502.smt2, t/o, t/o, t/o, t/o, t/o, t/o, -, -, -, -, -, -, -, -, -, -, -, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/test_v5_r10_vr10_c1_s7608.smt2, t/o, t/o, t/o, t/o, t/o, t/o, -, -, -, -, -, -, -, -, -, -, -, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/test_v5_r10_vr1_c1_s13516.smt2, t/o, t/o, t/o, t/o, 109.51466, t/o, -, -, -, -, 7, -, -, -, -, -, sat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/test_v5_r10_vr1_c1_s19145.smt2, t/o, t/o, t/o, t/o, t/o, 522.3758, -, -, -, -, -, 11, -, -, -, -, -, sat
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/test_v5_r10_vr1_c1_s32538.smt2, t/o, t/o, 521.6518, 520.70013, 1.0905977, 1.120148, -, -, 6, 6, 6, 6, -, -, unsat, unsat, unsat, unsat
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/test_v5_r10_vr5_c1_s13195.smt2, t/o, t/o, t/o, t/o, t/o, 494.6697, -, -, -, -, -, 4, -, -, -, -, -, sat
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/test_v5_r10_vr5_c1_s13679.smt2, t/o, t/o, t/o, t/o, t/o, t/o, -, -, -, -, -, -, -, -, -, -, -, -
