Trying solvers:
	IJCAR(z3) (scala uppsat.jar -a=0)
	FxptRef(z3) (scala uppsat.jar -a=1)
	IJCAR(MS) (scala uppsat.jar -a=0 -b=1)
	FxptRef(MS) (scala uppsat.jar -a=1 -b=1)
	IJCAR(ACDCL) (scala uppsat.jar -a=0 -b=2)
	FxptRef(ACDCL) (scala uppsat.jar -a=1 -b=2)
<--- RESULTS --->
	 Time, Iterations, Answer
File	IJCAR(z3), FxptRef(z3), IJCAR(MS), FxptRef(MS), IJCAR(ACDCL), FxptRef(ACDCL), IJCAR(z3), FxptRef(z3), IJCAR(MS), FxptRef(MS), IJCAR(ACDCL), FxptRef(ACDCL), IJCAR(z3), FxptRef(z3), IJCAR(MS), FxptRef(MS), IJCAR(ACDCL), FxptRef(ACDCL)
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/e2.c.smt2, 1.2031142, 1.05606, 1.2298312, 1.3760586, 3.1909962, 2.1408987, 1, 1, 1, 1, 3, 2, sat, sat, sat, sat, sat, sat
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/e2_1.c.smt2, 0.9069316, 0.6519378, 0.99003065, 1.0531203, 0.9086839, 0.98252684, 1, 1, 1, 1, 1, 1, sat, sat, sat, sat, sat, sat
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/e2_2.c.smt2, 0.838358, 0.554433, 1.661649, 0.99846476, 0.85389864, 0.97945946, 1, 1, 2, 1, 1, 1, sat, sat, sat, sat, sat, sat
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/e2_3.c.smt2, 0.87676495, 0.57548696, 0.9335234, 1.0040555, 0.8947966, 0.91034865, 1, 1, 1, 1, 1, 1, sat, sat, sat, sat, sat, sat
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/e2a_1.c.smt2, 0.6371478, 0.70667446, 1.2512347, 0.7885951, 0.6430436, 0.75562507, 1, 1, 2, 1, 1, 1, sat, sat, sat, sat, sat, sat
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/e2a_2.c.smt2, 0.64364576, 0.6320665, 0.7048163, 0.8217555, 3.324684, 3.6563969, 1, 1, 1, 1, 7, 7, sat, sat, sat, sat, sat, sat
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/e2a_3.c.smt2, 0.629474, 0.5600514, 0.6993684, 0.7622699, 3.5870867, 3.602887, 1, 1, 1, 1, 7, 7, sat, sat, sat, sat, sat, sat
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/e3.c.smt2, 6.821419, 6.834766, t/o, t/o, t/o, t/o, 6, 6, -, -, -, -, unsat, unsat, -, -, -, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/e3_1.c.smt2, 1.1550497, 1.1287857, 6.3630195, 2.0818396, 1.9512979, 3.6738234, 1, 1, 4, 2, 2, 3, sat, sat, sat, sat, sat, sat
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/e3_2.c.smt2, 1.0617535, 1.0577506, 2.038521, 2.0709772, 1.8253034, 6.722896, 1, 1, 2, 2, 2, 6, sat, sat, sat, sat, sat, sat
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/f23.smt2, t/o, t/o, t/o, t/o, t/o, t/o, -, -, -, -, -, -, -, -, -, -, -, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/gaussian.c.125.smt2, t/o, t/o, t/o, t/o, t/o, t/o, -, -, -, -, -, -, -, -, -, -, -, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/gaussian.c.175.smt2, t/o, t/o, t/o, t/o, t/o, t/o, -, -, -, -, -, -, -, -, -, -, -, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/gaussian.c.25.smt2, t/o, t/o, t/o, t/o, t/o, t/o, -, -, -, -, -, -, -, -, -, -, -, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/gaussian.c.75.smt2, t/o, t/o, t/o, t/o, t/o, t/o, -, -, -, -, -, -, -, -, -, -, -, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/mul_000003_30000_1.smt2, t/o, t/o, t/o, t/o, t/o, t/o, -, -, -, -, -, -, -, -, -, -, -, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/mul_03_3000_1.smt2, t/o, t/o, t/o, t/o, t/o, t/o, -, -, -, -, -, -, -, -, -, -, -, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/mul_03_30_1.smt2, 534.55725, 535.32336, 73.76875, 73.533066, t/o, t/o, 6, 6, 6, 6, -, -, unsat, unsat, unsat, unsat, -, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/mul_03_30_2.smt2, 505.8626, 506.20657, 84.26265, 83.30003, t/o, t/o, 6, 6, 6, 6, -, -, unsat, unsat, unsat, unsat, -, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/mul_03_30_3.smt2, 502.94016, 503.9078, 80.86116, 80.8703, t/o, t/o, 6, 6, 6, 6, -, -, unsat, unsat, unsat, unsat, -, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/mul_03_30_4.smt2, t/o, t/o, t/o, t/o, t/o, t/o, -, -, -, -, -, -, -, -, -, -, -, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/mul_03_30_5.smt2, 481.78146, 481.76138, 86.79562, 86.26415, t/o, t/o, 6, 6, 6, 6, -, -, unsat, unsat, unsat, unsat, -, -
