Trying solvers:
	z3 (z3 -smt2 -st)
	MathSat (mathsat -stats)
	ACDCL (mathsat -stats -theory.fp.mode=2)
<--- RESULTS --->
	 Time, Iterations, Answer
File	z3, MathSat, ACDCL, z3, MathSat, ACDCL, z3, MathSat, ACDCL
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/mul_03_30_4.smt2, 1130.58, 951.727, t/o, -, -, -, unsat, unsat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/mul_03_30_5.smt2, 93.44, 63.564, t/o, -, -, -, unsat, unsat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/mul_03_30_6.smt2, 93.92, 68.76, t/o, -, -, -, unsat, unsat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/mul_03_30_7.smt2, 89.08, 30.63, t/o, -, -, -, unsat, unsat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/mul_03_3_1.smt2, 30.38, 28.842, 0.156, -, -, -, sat, sat, sat
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/mult1.c.10.smt2, 8.71, 3.164, 0.34, -, -, -, sat, sat, sat
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/mult1.c.20.smt2, 9.56, 12.397, 1.044, -, -, -, sat, sat, sat
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/mult1.c.3.smt2, 1.27, 0.324, 0.008, -, -, -, sat, sat, sat
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/mult1.c.30.smt2, 12.4, 28.11, 0.348, -, -, -, sat, sat, sat
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/mult1.c.40.smt2, 17.95, 50.567, 0.572, -, -, -, sat, sat, sat
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/mult1.c.50.smt2, 165.45, 77.317, 98.366, -, -, -, sat, sat, sat
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/mult2.c.10.smt2, 8.67, 3.784, 0.2, -, -, -, sat, sat, sat
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/mult2.c.20.smt2, 11.74, 13.793, 3.692, -, -, -, sat, sat, sat
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/mult2.c.3.smt2, 1.68, 0.528, 0.008, -, -, -, sat, sat, sat
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/mult2.c.30.smt2, 71.71, 30.118, 0.344, -, -, -, sat, sat, sat
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/mult2.c.40.smt2, 137.99, 118.727, 895.356, -, -, -, sat, sat, sat
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/mult2.c.50.smt2, 99.22, 80.437, 0.82, -, -, -, sat, sat, sat
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/newton.1.1.i.smt2, 797.19, t/o, t/o, -, -, -, unsat, -, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/newton.1.2.i.smt2, t/o, t/o, t/o, -, -, -, -, -, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/newton.1.3.i.smt2, t/o, t/o, t/o, -, -, -, -, -, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/newton.2.1.i.smt2, 868.35, t/o, t/o, -, -, -, unsat, -, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/newton.2.2.i.smt2, t/o, t/o, t/o, -, -, -, -, -, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/newton.2.3.i.smt2, t/o, t/o, t/o, -, -, -, -, -, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/newton.3.1.i.smt2, t/o, t/o, t/o, -, -, -, -, -, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/newton.3.2.i.smt2, t/o, t/o, t/o, -, -, -, -, -, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/newton.3.3.i.smt2, t/o, t/o, t/o, -, -, -, -, -, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/newton.4.1.i.smt2, 38.67, 52.119, 0.26, -, -, -, sat, sat, sat
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/newton.4.2.i.smt2, t/o, t/o, t/o, -, -, -, -, -, -
