Trying solvers:
	IJCAR(z3) (scala uppsat.jar -a=0)
	FxptRef(z3) (scala uppsat.jar -a=1)
	IJCAR(MS) (scala uppsat.jar -a=0 -b=1)
	FxptRef(MS) (scala uppsat.jar -a=1 -b=1)
	IJCAR(ACDCL) (scala uppsat.jar -a=0 -b=2)
	FxptRef(ACDCL) (scala uppsat.jar -a=1 -b=2)
<--- RESULTS --->
	 Time, Iterations, Answer
File	IJCAR(z3), FxptRef(z3), IJCAR(MS), FxptRef(MS), IJCAR(ACDCL), FxptRef(ACDCL), IJCAR(z3), FxptRef(z3), IJCAR(MS), FxptRef(MS), IJCAR(ACDCL), FxptRef(ACDCL), IJCAR(z3), FxptRef(z3), IJCAR(MS), FxptRef(MS), IJCAR(ACDCL), FxptRef(ACDCL)
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/qurt.c.2.smt2, t/o, t/o, 77.96911, 87.854744, t/o, t/o, -, -, 6, 6, -, -, -, -, unsat, unsat, -, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/qurt.c.20.smt2, t/o, t/o, t/o, t/o, t/o, t/o, -, -, -, -, -, -, -, -, -, -, -, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/qurt.c.25.smt2, t/o, t/o, t/o, t/o, t/o, t/o, -, -, -, -, -, -, -, -, -, -, -, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/qurt.c.5.smt2, t/o, t/o, 175.27382, 182.47807, t/o, t/o, -, -, 6, 6, -, -, -, -, unsat, unsat, -, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/sin.c.125.smt2, t/o, t/o, t/o, t/o, t/o, t/o, -, -, -, -, -, -, -, -, -, -, -, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/sin.c.175.smt2, t/o, t/o, t/o, t/o, t/o, t/o, -, -, -, -, -, -, -, -, -, -, -, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/sin.c.25.smt2, t/o, t/o, t/o, t/o, t/o, t/o, -, -, -, -, -, -, -, -, -, -, -, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/sin.c.75.smt2, t/o, t/o, t/o, t/o, t/o, t/o, -, -, -, -, -, -, -, -, -, -, -, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/sin2.c.10.smt2, t/o, t/o, t/o, t/o, t/o, t/o, -, -, -, -, -, -, -, -, -, -, -, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/sin2.c.125.smt2, t/o, t/o, t/o, t/o, t/o, t/o, -, -, -, -, -, -, -, -, -, -, -, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/sin2.c.15.smt2, t/o, t/o, t/o, t/o, t/o, t/o, -, -, -, -, -, -, -, -, -, -, -, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/sin2.c.175.smt2, t/o, t/o, t/o, t/o, t/o, t/o, -, -, -, -, -, -, -, -, -, -, -, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/sin2.c.2.smt2, t/o, t/o, t/o, t/o, t/o, t/o, -, -, -, -, -, -, -, -, -, -, -, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/sin2.c.20.smt2, t/o, t/o, t/o, t/o, t/o, t/o, -, -, -, -, -, -, -, -, -, -, -, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/sin2.c.25.smt2, t/o, t/o, t/o, t/o, t/o, t/o, -, -, -, -, -, -, -, -, -, -, -, -
